,year,team,conference,division,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
95,2010,Texas A&M,Big 12,South,13,9,4,0,8,6,2,0,7,6,1,0,4,3,1,0
96,2010,Texas Tech,Big 12,South,13,8,5,0,8,3,5,0,6,4,2,0,5,2,3,0
97,2010,Toledo,Mid-American,West,13,8,5,0,8,7,1,0,6,4,2,0,6,4,2,0
98,2010,Troy,Sun Belt,,13,8,5,0,8,6,2,0,5,4,1,0,7,3,4,0
99,2010,Tulane,Conference USA,West,12,4,8,0,8,2,6,0,7,2,5,0,5,2,3,0
100,2010,Tulsa,Conference USA,West,13,10,3,0,8,6,2,0,6,6,0,0,6,3,3,0
101,2010,UAB,Conference USA,East,12,4,8,0,8,3,5,0,6,3,3,0,6,1,5,0
102,2010,UCF,Conference USA,East,14,11,3,0,9,8,1,0,7,5,2,0,6,5,1,0
103,2010,UCLA,Pac-10,,12,4,8,0,9,2,7,0,6,3,3,0,6,1,5,0
104,2010,UNLV,Mountain West,,13,2,11,0,9,2,7,0,6,2,4,0,7,0,7,0
105,2010,USC,Pac-10,,13,8,5,0,10,6,4,0,6,3,3,0,7,5,2,0
106,2010,Utah,Mountain West,,13,10,3,0,8,7,1,0,6,5,1,0,6,5,1,0
107,2010,Utah State,Western Athletic,,12,4,8,0,8,2,6,0,6,3,3,0,6,1,5,0
108,2010,UTEP,Conference USA,West,13,6,7,0,8,3,5,0,6,5,1,0,6,1,5,0
109,2010,Vanderbilt,SEC,East,12,2,10,0,8,1,7,0,7,1,6,0,5,1,4,0
110,2010,Virginia,ACC,Coastal,12,4,8,0,8,1,7,0,7,4,3,0,5,0,5,0
111,2010,Virginia Tech,ACC,Coastal,14,11,3,0,9,9,0,0,7,6,1,0,4,4,0,0
112,2010,Wake Forest,ACC,Atlantic,12,3,9,0,8,1,7,0,6,2,4,0,6,1,5,0
113,2010,Washington,Pac-10,,13,7,6,0,10,5,5,0,6,3,3,0,6,3,3,0
114,2010,Washington State,Pac-10,,12,2,10,0,9,1,8,0,6,1,5,0,6,1,5,0
115,2010,Western Kentucky,Sun Belt,,12,2,10,0,8,2,6,0,5,0,5,0,7,2,5,0
116,2010,Western Michigan,Mid-American,West,12,6,6,0,8,5,3,0,6,3,3,0,6,3,3,0
117,2010,West Virginia,Big East,,13,9,4,0,7,5,2,0,7,6,1,0,5,3,2,0
118,2010,Wisconsin,Big Ten,,13,11,2,0,11,9,2,0,7,7,0,0,5,4,1,0
119,2010,Wyoming,Mountain West,,12,3,9,0,8,1,7,0,6,2,4,0,6,1,5,0
